f_FPro_class,price,price percal,package_weight,Protein,Total Fat,Carbohydrate,"Sugars, total","Fiber, total dietary",Calcium,Iron,Sodium,Cholesterol,"Fatty acids, total saturated",label
3,3.99,0.01287097,85.0485,4.70319876,27.0433929,14.8150761,17.6369954,0.0,0.08230598,0.00070548,0.1135822523999999,0.07642698,15.285396,0
2,3.49,0.02188555,425.2425,0.83333333,0.83333333,6.25,1.66666667,0.83333333,0.01666667,0.00033333,0.02625,0.0,0.0,1
2,7.99,0.04462454,56.699,54.3859649,8.77192983,2.280701761,0.0,0.0,0.01754386,0.00526316,1.108771928,0.14035088,3.50877193,1
2,9.49,0.01171605,382.71825,11.7579969,23.5159938,16.649323633999998,4.70319876,4.70319876,0.06114158,0.00253973,0.28219193,0.0,3.52739907,1
3,2.98,0.00300333,198.4465,3.84615385,26.9230769,54.769230735,34.6153846,0.0,0.0,0.00276923,0.129230766,0.01923077,15.3846154,0
3,1.96,0.00810866,153.0873,2.63157895,18.4210526,68.4210526,55.2631579,2.63157895,0.06842105,0.0,0.1231578971999999,0.0131579,15.7894737,0
2,4.39,0.01688462,56.699,17.6369954,31.7465917,18.836311016,7.05479815,10.5821972,0.42328789,0.00423288,0.888904569,0.0,5.29109861,1
3,5.69,0.00677308,216.02319,5.55555556,13.8888889,86.66666671,27.7777778,5.55555556,0.04166667,0.00277778,0.408333338,0.0,2.77777778,0
0,7.32,0.00282412,453.592,21.4285714,46.4285714,25.428571454,0.0,10.7142857,0.09285714,0.00385714,0.0,0.0,5.35714286,1
0,21.99,0.03379608,453.59237,19.9885947,7.05479815,0.0,0.0,0.0,0.00499715,0.00037626,0.085186689,0.06584478,1.64611957,1
3,2.25,0.00191672,243.8057,7.40740741,12.962963,100.518518536,3.7037037,7.40740741,0.19259259,0.0,1.81481482,0.03703704,7.40740741,0
3,2.97,0.0015125,1440.0,2.27272727,6.81818182,16.181818198,15.9090909,0.0,0.11818182,0.0,0.0449431848999999,0.02272727,3.97727273,0
3,3.79,0.01263333,141.7475,10.5821972,24.6917935,59.9657842,0.0,14.1095963,0.0,0.00126986,0.324520712,0.0,1.76369954,0
3,8.99,0.01045428,368.5435,0.0,0.0,53.4,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,1.99,0.01403905,198.4465,3.57142857,0.0,14.2857143,10.7142857,3.57142857,0.0,0.005,0.0,0.0,0.0,1
2,3.99,0.01239249,60.10094,42.8571429,39.2857143,2.8571428560000003,0.0,0.0,1.17857143,0.00035714,1.699999994,0.125,25.0,1
2,2.29,0.01003446,39.6893,25.0,42.5,16.0,17.5,5.0,0.13,0.0035,0.207,0.0125,11.25,1
3,8.49,0.0038103,453.59237,17.5438597,24.5614035,70.70175437,17.5438597,8.77192983,0.10526316,0.00473684,0.3684210599999999,0.0,2.63157895,0
3,2.98,0.00098026,570.0,0.0,56.6666667,8.666666671,6.66666667,0.0,0.0,0.0,1.0919999961,0.03333333,8.33333333,0
3,17.89,0.07888146,2721.552,6.66666667,0.83333333,6.333333336,1.66666667,0.41666667,0.1625,0.003,0.07916667,0.00833333,0.20833333,0
3,1.94,0.00378142,93.55335,6.4516129,32.2580645,51.677419329,48.3870968,0.0,0.2516129,0.0,0.2453225814,0.01612903,19.3548387,0
0,2.14,0.00120092,453.592,14.2857143,4.46428571,69.6428571,0.0,3.57142857,0.0,0.00321429,0.0201785682,0.10714286,0.89285714,1
3,2.88,0.00210912,289.1649,8.33333333,19.4444444,76.38888884,38.8888889,2.33333333,0.0,0.001,0.275000004,0.0,9.72222222,0
